CLICK_DATE|EVENT_ID|USER_ID|USERAGENT|BROWSER_VENDOR BROWSER_NAME - VERSION|HARDWARE_MODEL|ACCOUNT_ID|TIMING|PPC|DATE
2021-03-25 07:28:53|bbd76201ff63c6df5e80cebd|10546|Mozilla/5.0 (Linux; Android 4.4.4; XT1080 Build/SU6-7.7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.91 Mobile Safari/537.36|Google Chrome Mobile-68|XT1080|63448.0|20|0.13|2021-03-25
2021-03-25 08:23:55|b50348e6c7145bed7232bec6|10380|Mozilla/5.0 (Linux; Android 4.4.4; XT1080 Build/SU6-7.7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.91 Mobile Safari/537.36|Google Chrome Mobile-68|XT1080|63448.0|23|0.0|2021-03-25
2021-03-25 08:24:35|42773c10f1bce7e5a5965f7c|10380|Mozilla/5.0 (Linux; Android 4.4.4; XT1080 Build/SU6-7.7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.91 Mobile Safari/537.36|Google Chrome Mobile-68|XT1080|63448.0|17|0.0|2021-03-25
2021-03-24 22:47:02|a1d75e79300644c2ce01cfea|11312|Mozilla/5.0 (Linux; Android 9; Lenovo TB-X605LC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36|Google Chrome Mobile-85|TB-X605LC|63541.0|10|0.0|2021-03-24
2021-03-25 06:25:03|d6cd8b45c0316aa91f1cd223|11312|Mozilla/5.0 (Linux; Android 9; Lenovo TB-X605LC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36|Google Chrome Mobile-85|TB-X605LC|63541.0|6|0.0|2021-03-25
2021-03-24 20:20:16|58a752444bfa4dbaeb115660|11146|Mozilla/5.0 (Linux; Android 8.1.0; Primo R5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Mobile Safari/537.36|Google Chrome Mobile-85|Primo R5|63541.0|16|0.00078|2021-03-24
2021-03-24 20:21:35|4d922896aee84569d0070191|10046|Mozilla/5.0 (Linux; Android 6.0.1; LGLS676) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36|Google Chrome Mobile-73|LS676|63448.0|30|0.07|2021-03-24
2021-03-25 04:28:33|f4703a9df8f77797023e0331|10046|Mozilla/5.0 (Linux; Android 6.0.1; LGLS676) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36|Google Chrome Mobile-73|LS676|63448.0|17|0.13|2021-03-25
2021-03-24 20:11:48|d87b13a6341e8e6b19fc91c7|10046|Mozilla/5.0 (Linux; Android 6.0.1; LGLS676) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36|Google Chrome Mobile-73|LS676|63448.0|19|0.13|2021-03-24
2021-03-24 20:11:49|6135f2e5b414ded07be466eb|10046|Mozilla/5.0 (Linux; Android 6.0.1; LGLS676) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36|Google Chrome Mobile-73|LS676|63448.0|26|0.0|2021-03-24
2021-03-25 09:14:41|5b0546405490a4da5e71a44b|10918|Mozilla/5.0 (Linux; Android 6.0.1; LGLS676) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36|Google Chrome Mobile-73|LS676|63602.0|9|0.13|2021-03-25
2021-03-25 05:47:40|76c8c3aa90c60fb1b350779c|10380|Mozilla/5.0 (Linux; Android 9; SM-J730G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Mobile Safari/537.36|Google Chrome Mobile-72|SM-J730G|48109.0|14|0.0|2021-03-25
2021-03-25 08:33:31|329e459b6c9df7123eead8a5|10046|Mozilla/5.0 (Linux; Android 8.1.0; SM-J727T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.143 Mobile Safari/537.36|Google Chrome Mobile-75|SM-J727T|2509.0|7|0.07|2021-03-25
2021-03-25 01:16:24|229fd577f3e7a129a415600c|11341|Mozilla/5.0 (Linux; Android 7.0; PRA-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|PRA-LX3|63541.0|14|0.02|2021-03-25
2021-03-25 05:54:42|08e6e641a062c5cf040723fd|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|8|0.0|2021-03-25
2021-03-25 05:54:42|7d0f1698e172160aa412a1b4|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|16|0.0|2021-03-25
2021-03-25 05:54:42|085d17c4155f8f0e7b42e8ca|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|6|0.0|2021-03-25
2021-03-25 05:54:42|b7f7a9e043f9c3ec095fe1e5|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|7|0.0|2021-03-25
2021-03-25 05:54:42|00228984f61b717865467a8b|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|7|0.07|2021-03-25
2021-03-25 05:54:43|538d6776cee0b18391b0f484|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|9|0.07|2021-03-25
2021-03-25 05:54:43|e6762494aed386ff5fe3956c|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|9|0.0|2021-03-25
2021-03-25 05:54:43|1f154e4ab72ce96abfb64a4f|11316|Mozilla/5.0 (Linux; Android 5.0.1; GT-I9515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36|Google Chrome Mobile-85|GT-I9515|801.0|7|0.0|2021-03-25
